,nickname,score,review,stay_date
100,Curious05145050429,40,"직원분들 친절하시고
객실 청결상태도 괜찮아요.
조식도 맛있었어요.
주변에 식당도 많고 편리하구요
강남 치곤 잘 때 시끄럽진 않았어요",2019-05-01
101,이환희,50,"방문시기에 옆블럭에서 공사중이라 룸이 조용했으면 했는데
친절하게 위치도 건너편으로 바꿔주시고
문의 하면 직원분들 친절하게 설명도 잘해주시고 좋았어요
룸컨디션도 좋앗습니다",2019-05-01
102,신라의 도시,50,"근처에 맛집ㆍ편의시설이용이 편리하고
교통이 좋아서 모든 활동이 편합니다
직원분들 무지 친절하시고 좋으셔서
또방문하고싶어요
강추!!!",2019-05-01
103,lucky,50,중국에서 성형병원을 운영하면서 고급손님들과 한국에서 성형받기를 원하시는 중국손님들을 자주 모시고 들어오는데 신라스테이로 모시고 같이 이용하면 중국손님들이 한결같이 친절하고 깔끔해서 다들 좋아하네요. 감사합니다.,2019-05-01
104,Sumin,50,위치도 좋고 객실도 정말 깔끔합니다. 서비스도 친절해요~ 조식도 맛있고 패키지가 다양해서 좋아요~ 다음에 또 방문하고싶어요~~><,2019-05-01
105,inhye,50,매번 호텔을 찾을때마다 깨끗하고 심플한 신라스테이만 이용하고있어요. 다른 지역으로 여행을 가도 깔끔한 신라스테이만 찾게 돼요! 직원분들이 항상 친절하게 응대해주셔서 신라스테이를 찾게되는 강점이에요 :-) 앞으로도 자주 이용할게요 !,2019-05-01
106,배성준,50,"들어오자마자 기분 좋게 인사도 해주시고, 짐 보관도 잘 해주시고, 문의 사항 같은 거에도 하나하나 친절히 답변해주셔서 너무 기분 좋았습니다. 객실 또한 너무 청결하고 편안해서 푹 잘 쉬었던 거 같습니다. 다음에 또 이용해야겠네요!!",2019-05-01
107,JHYuuu,50,객실 상태도 매우 깨끗하고 침대도 푹신해서 잠이 너무 잘와요.. 프론트 직원분들도 매번 너무 친절하셔서 잘 쉬다 갑니다! 또 방문할게요 감사합니다,2019-05-01
108,Taewon Kim,50,주말에 방문햇는데 방도 너무 깨끗하구 프론트에서 일하시는 분들도 너무 친절하고 좋앗습니다. 다시 또 올거 같아요! 추천합니다,2019-05-01
109,Peer003,40,가격대비 정말 무난.단 객실 엄청 건조함.아침이나 점심도 특별히 모난 부분이 느껴지지않음.저녁에 지인들과 맥주마시기엔 딱 알맞음,2019-05-01
110,Wanderer03844904344,30,"주차가 문제입니다. 제가 묵었던 날짜가 토요일 이었는데, 일요일 체크아웃하면서 차를 뺄 떄, 시간이 너무 걸립니다. 미리 ""한시간 걸립니다""라고 얘기 하더군요. 40분만에 차가 나왔지만 그 동안 기다리는 시설이 따로 있는 것도 아니고 모무들 서서 계속 기다렸네요.
너무 춥거나 더운 여름이면 나와서 기다릴 수도 없을텐데 말입니다.
뭔가 대비책이 있어야 할 것 같습니다.",2019-05-01
111,jaehyon,50,"객실 인테리어도 좋고
프론트 직원들도 굉장히 친절합니다.
뭔가를 문의했을 때 명쾌한 답을 주던 여직원분 감사합니다.
에어컨은 언른 가동했으면 좋겠어요.",2019-04-01
112,kim3522m,50,"대만족입니다 이정도 급에 깨끗하며 서비스도 만족이며 위치도 좋아 강남역쪽 용무시
이용하면좋을거같습니다
신라스테이 후회없는 방문이었습니다",2019-04-01
113,손송이,40,"평소 천안 신라 스테이를 이용하는 편인데
구성이 비슷한듯 다른 점이 마음에 들었습니다.
또한 구석구석 배치된 작품들이 따스하면서도
모던 해서 호캉스를 즐기러 오는 젊은이들 혹은
어르신들에게도 적합해 보였어요.

조식도 조금 붐비는 것만 빼면 서비스도 좋았습니다.
단지 수용인원에 비해 인력이 부족해보였습니다.
직원들의 복지개선을 위해 인력 충원이 이뤄진다면
보다 나은 서비스와 고객만족도 향상에 도움이 될 듯 합니다.

마지막으로 주변환경이 산책 하기에도 재밌었습니다.
감사합니다.
잘 머물다 갑니다.

Ps.젊은이들의 뜨거운 밤은 좋은데… 복도까지 울리는 건…좀…낯뜨거웠습니다. 청소년이 아니니… 다른 분들을 위해 조용히 사랑 나눠주세요~",2019-04-01
114,yonghanyi1,50,"업무차 방문했는데 깜끔하고 친절하네요...
주변 맛집도 많고 교통도 편리해서 좋았습니다.
직원분들이 굉장히 밝고 친덜하게 도와주셔서 기분이 많이 좋았습니다.",2019-04-01
115,ByeongJin Lee,50,"업무상 출장으로 이용하였고, 몹시 만족스러웠습니다. 지친 몸을 이끌고 침대에 누웠을 때는 어렸을적 할머니댁 아랫목 위에 깔린 두터운 솜이불을 연상케하는 편안함을 느꼈으며, 깔끔한 내장 인테리어 및 가구들은 제가 꿈꾸는 모던한 삶을 그대로 나타내는듯 했습니다. 가감없이 적극 추천드리는 바입니다.",2019-04-01
116,hui,50,신라스테이 서초는 처음인데 위치도 마음에 들고 룸 컨디션도 좋았어요:) 직원 분들도 친절하세요! 다음에 또 이용하고 싶어요❣️,2019-04-01
117,JJH,50,"강남역에서 마을버스 타면 바로 앞에 내릴 수 있고, 걸어올 수도 있는 거리입니다. 여러가지 문의했는데 친절하게 알려줘서 좋았습니당. 객실 조용하고 침대가 편안해서 늦게까지 잘 잤어요. 욕실도 넓은 편이라 편하게 잘 사용했습니다~!",2019-04-01
118,안서빈,50,직원분들도 친절하시고 룸컨디션도 최고~ 깨끗하고 좋아요~ 위치도 좋고 이쪽으로 올일있으면 다시 여기로 예약할거같아요~ 굿^^,2019-04-01
119,HWL,20,"가격과 위치는 보통이었으나 깨끗함 면에서 최악이었습니다. 체크인하자마자 살펴본 방에서 금발 머리카락이 쇼파와 데스크 의자에서 발견되었고 화장실에서도 머리카락 뭉치와 아직 사용하지도 않은 세면대에서도 눈썹같은 털이 발견되었습니다. 침구와 다른 곳들은 육안으로는 깨끗해 보였지만 묵는 내내 불결한 기분이 들어 어서 체크아웃 하고 싶었습니다. 이와 관련하여 커스터머 레터도 쓰고 인터넷 홈페이지를 통해서 따로 메시지를 보냈으나 피드백이 없어 제 의견이 전달이 되었을지 의문이 듭니다. 어메니티와 시설등은 괜찮았으나 저는 4성 이상의 호텔에서는 깨끗함은 기본이라고 생각하기 때문에 다른 사람에게 추천하지도, 다시 이용하지도 않을 계획입니다.",2018-09-01
120,So won,50,"위치가 너무너무너무 좋습니다
직원분들도 너무 친절하고 방도 포근하고 잘 쉬다가네요
다음에 서울오면 또 예약하려구요",2019-03-01
121,이주환,50,직원분들도 친절하시고 건물 자체가 조용해서 쉬기에 불편함이 없었습니다. 내부 디자인돟깔끔하게 되어있어서 더 편안했습니다.,2019-02-01
122,김희정,50,"방이 깨끗하고 깔끔하네요 ㅎㅎ
아늑해서 좋아요!!강남이랑 가까워서 이동하기에도 편하고 ㅎㅎ 조식을 못먹어서 아쉽지만ㅎㅎ",2019-02-01
123,Hun-yong L,50,깔끔하고 좋아요! 접근성도 좋고 직원 친절하고 서비스도 좋아요! 매번 이용 하고 싶네요 ㅎㅎㅎㅎㅎㅎㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2019-02-01
124,sejuni,50,방이 너무 아늑하고 깔끔해서 좋고 나머지 편의기구도 다른5성급못지않게 다 되있네요 그리고 비지니스호텔중에선 신라스테이가 제일 괜찮은듯합니다,2019-02-01
125,윤은진,50,깔끔하고 좋아요..아침에 늦게일어나서 조식은 못먹은게 아쉽습니다 모처럼 가족이 서울에 볼일이 있어서 이용했는데 좋았어요,2019-02-01
126,kang,50,시설이 깔끔하고 좋은것같습니다. 직원분들도 다들 친절하시고 숙소 바로앞에 버스 정류장도있어 좋습니다. 조식을 못먹어서 좀 아쉽긴합니다.,2019-02-01
127,Junghak L,40,모든것이 기본. 무난하다. 특별하게 뛰어난것도 부족한것도엄ㅅ다. 그 가격에 딱 맞는 퀄리티다. 위치도 무난하다. 강남역에서 뱅뱅사거리까지 걸어야하니까 무난하다,2018-10-01
128,박성실,50,처음들어갈때 사진은못찍었는데 프론트부터 친절하시구 방도깔끔하고 좋아요 방음도 걱정할필요없이 잘되있구 온도조절도 잘되더라구요 조식뷔페도 엄청잘되있어서 맛있습니다 스탠드나 구성이 아늑해서 편안한분위기고 무엇보다 욕조가있고 화장실 구성이 깔끔해서 맘에들었습니다,2019-02-01
129,minkmiipapa,50,"1박 호텔 이용하면서 아쉬운 점 없이 즐기다 갑니다! 화장실 시설도 깔끔하고, 책상도 길어서 작업하기 좋았습니다. 높은 층이었는데 방도 따뜻하고 침대가 넓어서 좋았습니다.",2019-02-01
130,Taeho Lee,50,"새로 생긴 호텔이라 그런지 등급에 비해 깔끔함 매번 잘 묵고 있습니다
숙박 시설이 많이 없는 서초구에서 돋보이는 호텔입니다",2019-02-01
131,Culture66652214936,40,"바깥 소음도 안들리고 좋았어요
근데 방사이에 소음이 조금 들렸습니다
그런거 말고는 다 만족!
교통도 편하고 바로 앞에 24시 식당있어서 애용했어요!",2019-02-01
132,Jeon,50,"직원분들도 너무 친절하셔서 우선 감동했고
침구와 방도 너무 편안했습니다
조식또한 맛있어서 모든게 편안한 휴식이었습니다!",2019-01-01
133,Ahy,50,원래 방문하려고 했던 역삼점 대신 거리가 가까운 서초점에 방문했습니다!! 역삼점에 대한 기대 때문에 아쉬움이 큰 상태였는데 서초 신라스테이 로비에 도착해 친절하신 직원들을 보자마자 아쉬웠던 마음은 사라졌습니다!! 위치도 너무 좋고 친절한 직원들과 깔끔한 룸컨디까지 만족스럽네요~! 특히 청소해주시는 직원분들이 너무 친절하셨습니당!!!,2019-02-01
134,Sunny,50,푹신한 베딩에서 잘쉬다가요~ 룸도 깔끔하고 어메니티도 아베다라서 굿굿:) 체크인 시간도 2시라서 좋은 것 같아요. 조식포함이었는데 늦게일어나서 못먹어서 아쉽네요ㅜㅜ,2019-01-01
135,EJJJJJ,50,객실이 아주 깔끔하고 베딩이 편안해요. 프론트도 친절하고 욕실 사용하기 편안하고 어메니티도 빠지는거 없이 넉넉하네요 ㅎㅎㅎ 다음에 또 이용하려구요,2019-01-01
136,ysh,50,"깔끔한 객실에서 편안하게 주말 잘 보냈습니다. 체크인도 2시에 가능해서 다른 비지니스 호텔에 비해 이른 시간부터 이용이 가능하고, 어메니티도 좋고 충분하게 배치되어있어 넉넉하게 쓸 수 있었어요. 무엇보다 조식도 알차게 준비되어있어 휴일 아침을 잘 시작해서 좋았습니다. 추천합니다~",2019-01-01
137,윤태영,50,20일날이 여자친구 생일이었는데 여자친구가 여기 와보고 싶다해서 예약하게 되었습니다! 처음 와봤는데 시설도 좋고 편리합니다,2019-01-01
138,Cheolgi min,50,"룸 컨디션 너무 훌륭하고, 깔끔해서 정말 기분 좋게 잘 머무르고 갑니다^^ 카운터에서도 친절하게 잘 해주셔서 추천 드려요!!

조식을 못 먹은게 너무 아쉬운데 다음에는 조식도 먹고 헬스장에서 운동도 해야겠어요!",2019-01-01
139,Don969,50,"예술의전당이랑 역이랑도 가깝고 주변에 관광하러 이동할 때
교통편의도 좋았어요
시설도 청결하고 프론트도 친절했어요😆",2019-01-01
140,Hayeon,50,"응대도 좋도 조식도 맛있어요 침대도 푹신해서 푹 쉬다가요
샤워부스 욕조 선택 가능해서 욕조에서 사용으로 너무 편하게 지내다 가요",2019-01-01
141,Hosang Kim,50,"룸도 엄청 깨끗하고 직원분들도 정말 친절하세요! 기분 좋게 체크인 했는데 조식도 맛있고 계속 채워주세요, 따뜻한 음식조 맛있고 전체적으로 매우 만족스러웠습니다!",2019-01-01
142,동원이,50,업무 또는 모임 때문에 서울에 자주 오게 되는데 매번 머무를 때마다 만족스럽습니다. 지방에서 버스로 올라왔을때 숙소까지 이동도 편리하고 강남쪽에서 일 보기 편리하고 여러모로 만족스럽습니다.,2019-01-01
143,이 재,50,"일단 컨디션이 매우 좋구요. 조식도 매우 깔끔했습니다.
욕조도 넓어서 편하게 이용하다 갑니당~!
다음에 다른 신라 스테이도 이용해 볼 예정입니다.",2019-01-01
144,JyKang,50,"신라스테이는 역시 침구류가 너무 좋아요
강남역 근처라서 위치도 좋고 직원들도 친절하네요
주차시설이 조금 아쉽지만 전체적으로 만족합니다",2019-01-01
145,kim s.c,50,오늘처음방문해봤는데시설도너무깔끔하구22층에서보는 서울의밤거리도너무인상깊어요ㅎ3층카페도음식이맛있어요,2019-01-01
146,jjungqq,50,"가격대비 룸이 넘 깨끗하고 좋았어요!
쿠폰도 많이 챙겨주셔서 라운지바 이용도 하고 ㅎ
직원분들도 친절하시고 잘 쉬다 갑니다^^
재방문 의사100%!!",2019-01-01
147,Myunghun Jin,50,"도심의 갤러리에 온 듯한 느낌의 호텔입니다.
모던하면서 편안하고 안락한 최고의 호텔
푹신한 침대와 침구류가 잠을 쏟아지게 만듭니다",2019-01-01
148,Ko doe,50,"친절하게 맞이해주고 침구도 깔끔해서 좋았어요~
각종 서비스 쿠폰도 주셔서 편히 쉬다 갑니다^^
재방문 의사 있습니다~~~
짱짱맨!",2019-01-01
149,whel,50,"신라스테이를 자주 이용하는데 그중 서초는 강남과 인접하고 비즈니스로 잠시 머물기 좋습니다
방도 넓고 깨끗합니다 특히 침구는 잠이 솔솔~",2019-01-01
150,stephen,50,"가격대비 룸 컨디션도 좋고
타 호텔 대비
욕조 있는 룸이 많아서 아주 좋아요
직원분들 서비스도 좋고
아무래도 신라라는 브랜드에 맞는거 같아요^^",2019-01-01
151,Kang Sejin,50,"방상태 너무 깔끔합니다.
침구류도 너무 깨끗하구요.
야경이 너무 좋네요. 다음날 강남역에서
시간 보내려고 여기를 택했는데 위치도 너무 편한것 같습니다.
좋은 시간보내고 갑니다.",2018-12-01
152,윤정혀네,50,방생태 너무 깔끔하고 어매니티도 아베다구요 .. 욕조 깔끔 객실 깔끔 조용하고 매트리스도 흔들리지 않고 노무 푹꺼지지도 않고 좋아요 ㅎㅎㅎㅎ,2019-01-01
153,yunyeyoung,50,"주말 호캉스로 방문했어요
스탠다드에서 26층 디럭스룸으로 업그레이드해주셔서
야경이 넘 좋았어요
체크인할때 가져온 와인 보시더니 오픈서비스 있다구 알려주셔서 요청했더니 잔 준비해주셔서 룸에서 배달음식시켜 먹었구용
가습기도 가져다주셔서 편하게 잤습니다
프론트직원분들 넘 친절하세요
조식이 다른 지점보다 종류가 더 많고 맛있었어요
특히 쌀국수 JMT....
피트니스에 매트랑 물이랑 수건 다 준비되어있어서 한시간정도 운동하고 알차게 주말보냈습니다^^
근처에 3분거리에 쿠오레에스프레소는 카페 맛집이에요",2019-01-01
154,홍영제,50,"강남쪽으로 오게될때마다 투숙하는데
여전히 시설도 깨끗하고 조식도 깔끔하고
직원분들도 친절해서 너무 좋습니다.
주차장도 타워형이지만 있어서 좋습니다.
강남역까지도 얼마 멀지 않아서
접근성이 좋은거 같습니다. 다음에도
다시 방문할 것 같습니다.",2019-01-01
155,CSM,50,"객실정비, 로비, 서비스 등 빠지는 부분 없이 만족스럽네요. 뱅뱅사거리 근처라 위치도 편리하구요. 상대적으로 저렴한 가격에 신라호텔 서비스를 경험할 수 있어 좋았습니다.",2019-01-01
156,lee jh,50,"대중교통 이용에 불편하지 않고, 위치도 근처 핫플레이스와 가까움. 예상보다 깔끔하고 잘 정돈된 룸컨디션! 로비가 동급에 비해 좋음!!",2019-01-01
157,임덕호,50,"신축이라 너무깔끔하고 직원분도 너무 친절하십니다.^^
주차는 자주식 및 기계식혼재되어있어서 이부분은 참고하셔야할것같아요.",2019-01-01
158,yeeun,40,"전체적으로 깔끔하고 침대도 편안하다.
화장실도 깔끔하고 수압도 굿굿
데스크 직원도 친절
전망은 별로
주변에 먹을 만한 음식점도 별로 없는 듯 ㅠㅠ
그래도 방에 테이블이 있어서 시켜서 먹기 편하다.
안락하게 잘 쉬다감~",2018-12-01
159,채리코코,50,"욕조도 있구 방도 깔끔하고 좋아요~~
근처에 맥도날드도 있고 편의점도 있어서 야식 먹기도 편하네요.
티비 채널도 많아요~~
스텝분들도 친절해요 ^^",2018-12-01
160,Dong hyun,40,방도 깔끔하고 서비스도 만족스럽습니다 높은층으로 주셔서 야경도 멋져요 삼층의 바도 분위기좋습니다 여자친구도 만족하네요,2018-12-01
161,Sang-Jin Jeon,50,"- 전체적으로 조용하고 좋은 서비스
- 객실이 크진 않지만 공간활용을 잘했다
- 강남역에서 많이 멀지 않아서 좋아요
- 조식 맛있어요",2019-01-01
162,Jongwook,40,"신라스테이 서초에 머물고 있는데, 편하고 서비스 좋고 조식이 좋습니다~~
또 뷰가 나쁘지않고, 욕실환기가 잘 되구요.슬라이딩도어가 고정되서 더 좋았습니다.
나쁜점은 복도가 좀 추워요.",2018-12-01
163,KYOUNGHUN,50,침구류도 엄청 깨끗하고 수건도 청결해요!! 방도 깨끗하고 다음에 재방문 하려구요!! 위치도 아주 적절하고 편의시설도 많아요!!,2018-12-01
164,김혜지,50,"연말을 기념으로 왔는데 방도 너무 깨끗하고 편안합니다~조명도너무 예뻐요~
화장실도 깨끗해서 사용하기 너무 좋았고 추운연말 신라스테이 서초점 에서 따뜻하게 잘 있다갑니다~",2018-12-01
165,jy718,50,"시설도 좋고 직원들도 친절하고 교통도 편리합니다
그리고 룸컨디션도 좋고 화장실도 쾌적하네요
연말에 기분좋게 쉬다갑니다",2018-12-01
166,ERIC C,50,12월 마지막날이기도해서 와이프랑 같이왔어요~방이 조금 작은 느낌이 있지만 방이 정말 깔끔하고 고급스럽고 이뻐요!! 담에 또 올게요,2018-12-01
167,전승헌,50,"평소 자주 묵는 호텔인데 어매니티도 아베다고 침구도 푹신해서 좋아요
직원분들도 친절하시고 좋고 위치도 강남이라 여행으로 오시는 분들한테 관광지로의
이동도 편할 것 같아요",2018-12-01
168,승엽 이,50,"로비직원분들 너무 친절하시고
요구사항 피드백도 빠릅니다^^
방은 깨끗하고 군더더기없이 깔끔하네요
주변에 편의시설은 거진 다 가까워서 이용하기편하네요",2018-12-01
169,Gashoo,50,멀리 떠나긴 귀찮고 휴일에 색다른 기분을 내기위해 집과 가까운 곳이라 투숙하게 되었습니다. 신라 브랜드라 별다른 거민 없이 예약하였습니다. 직원분들도 친절하셨고 시설도 매우 깔끔하여 만족스런 투숙이 되었습니다. 종종 이용하기 위해 멤버쉽도 가입 완료.,2018-12-01
170,Jong hee,50,"내부시설 깔끔하고. 오너만트 모두 좋고.
직원분친절하시고. 역시 신라 짱!
다만 주차가 타워라 약간불편하지만. 도심이니까. 이해
다음에도 이용할래요^^",2018-12-01
171,visitor_c,40,객실 깔끔하고 주변에 편의점도 있어서 편했어요. 침대가 푹신하고 좋아서 잠도 잘 오고 조식은 맛있었습니다. 하루이틀 숙박하기에 좋은 호텔이예요.,2018-12-01
172,boyounglee,50,오늘은 15층에 머물렀는데 건물쪽뷰여서 뷰는 아쉬웠지만 역시 객실컨디션은 좋았어요! 엄청 푹신한 침구때문에 다시 왔습니다 진짜ㅠㅠ 어메니티도 역시 좋구~~ 강남역하고 가까워서 접근성도 좋구 코앞에 마을버스 정류장이 있어서 편했어요!! 근처에 왠만한 먹을거리도 다 있어서 짱좋아용!!!!!!,2018-12-01
173,취향저격,50,"위치도 이동하기 편하고 안내 데스크에서 친절하게 반겨주셧고, 안내부터 시작해서 방에 들어왔은때 깔끔한게 제일 마음에 드네요.",2018-12-01
174,김근후,40,"디럭스 숙소입니다~
전체적인 디자인이나 심플하고 깔끔한 숙소인듯 하네요.
조금 좁기는 하지만 두명만 묵는다면 적당한것 같네요.",2018-12-01
175,Da-eun L,40,"친구랑 호캉스 즐기러 왔는데 호텔이 깔끔하고 침구류도 편하고 에머니티도 괜찮았어요.
생수는 무료제공이구요.
위치는 강남역에서 조금 멀긴 하지만 다른 지역 돌아다니기에는 좋아요",2018-12-01
176,Youngbin,50,날씨도 추워지고 놀러가기도 힘들어서 호캉스를 즐기러 놀러왔는데 괜찮은거 같아요! 깔끔하고 인테리어도 이쁘고 아주 대만족입니다,2018-12-01
177,Kim dae hee,50,체크인해서 방에 들어올때부터 좋은 향기가나서 기분좋았어요 ㅎㅎ 강남역근처라 교통도 편리하고 침구도 푹신해서 편하게 쉬다 갈수있었습니다,2018-12-01
178,재혁 최,50,위치가 너무 좋아요. 피트니스센터도 좋구요 모든 어메니티큰 아베다로 되어잇어서 그것도 좋습니다. 신라라는 이름에 걸맞는 시설과 퀄리티입니다. 동탄신라스테이 이용해봤었는데 거기보다는 조금 좁지만 그래도 포근하니 좋습니다,2018-12-01
179,Voyage65745721102,50,침구가 깔끔하고 요청한대로 방을 배정해줘서 편히 쉬고 갑니다. 강남 등과 위치도 가까워 좋네요. 다음에도 또 방문의사가 있습니다. 추천해요!!,2018-12-01
180,Explorer55905031575,40,"가족이랑 여행왓는데 위치도 괜찮고 숙소애 카페,헬스장,회의실 등 편의시설도 아주 잘 되어잇습니다! 개인적으로 다음에 호캉스하러 다시 오고싶네요. 강남근처에서 숙소찾으시는분들한테 강추드립니다.",2018-12-01
181,Dream59232311547,50,"직원분들 너무너무 친절하세요~
숙소도 깔끔하고 무엇보다 침구도 푹신하니 좋아요
신라스테이 서초 너무너무 추천입니다",2018-12-01
182,Odyssey65043335577,50,"늦은시간에 급하게 호텔을 예약한거라 걱정했는데
프론트 직원분도 친절하셨고
방도 깨끗해서 정말 좋네요~
다음에도 다시 이용해야겠어요~",2018-11-01
183,Jaden,50,"강남대로에 있어서 교통 접근이 참 편하네요.
어디로 가려하든지 강남대로로 가면 모든 교통편이 있어서 좋았습니다.
숙소도 깔끔하고.
만족스런 숙박이었습니다",2018-11-01
184,태웅 방,50,깨끗한 객실과 친절한 직원분들의 서비스가 너무 좋았습니다. 이 가격에 이 정도 퀄리티를 지닌 호텔은 서울에 몇개 없습니다. 강추입니다!!,2018-11-01
185,Hwang jeonghoon,50,"프론트에서 와인 오프너 빌렸는데 늦은 시각이라
체크아웃 시 반납 해달라는 아주 작지만 사소한
서비스가 너무 좋았습니다.
아주 편안한 밤 잘 보내고 갑니다 강추해요!!",2018-11-01
186,Nomad07498539342,50,"청결한 내부에 아늑한 인테리어도 더할나위 없이 깔끔했습니다!
어매니티도 아베다로 준비되어 있고, 생각지도 못했던 도심이 내려다보이는 야경뷰가 정말 예뻐서 기분 좋았습니다.
특히 직원분들이 너무 친절하셔서 너무 만족한 숙박이었습니다 :)",2018-11-01
187,세정 홍,40,"서울 올때마다 머무르는 비지니스 호텔~
직원분들 친절하시구 룸 컨디셔너가 깔끔하여 매우 만족합니당~ 근처 식당들도 좋은곳이 많구 한적하구 좋습니다.",2018-11-01
188,kspace12,50,직원분들이 전체적으로 친절하셔서 너무 기분 좋았습니다. 객실이 건조해서 가습기 있냐고 여쭤봤는데 객실까지 오셔서 설치까지 해주셔서 너무 감동이였어요. 앞으로 양재오명 신라스테이만 이용하려구요! 조식도 훌륭해서 너무너무 좋았습니다^^,2018-11-01
189,그마♡,40,"넓지는 않지만 불편하지 않고
침대와 침구가
쾌적하고..편안하네요
다시올거 같습니다
타월상태가좀 개선되야할거같습니다",2018-11-01
190,Yumyosep,50,"가끔 휴식을 취하러 비지니스 호텔을 이용하는데 그중에서 가장 깔끔하고 친절해서 신라스테이를 자주 이용하고있어요! 강남역,양재역이랑 가깝고 버스로도 이용가능해서 교통편도 좋아요! 만족스러운 휴가였습니다",2018-11-01
191,GrandTour27580121714,50,"신라호텔 앱을 통해서 예약 방문 하였습니다

앱을 이용해서 예약할때는 스텐다드로 예약 하였고, 결제를 현장에서 해야 한다는 사실을 깨닫고 현장에서 가능하다면 디럭스로 추가비용을 지불하고 업그레이드를 하려고 마음 먹고 출발을 하였습니다~~!

그런데 프론트에서 직원분께서 아주 친절하시게 추가비용 없이 디럭스로 업그레이드 해주셨고, 게다가 앱을 이용해서 예약을 해서 결제금액을 10%나 할인을! 해주셨어요^^

그리고 건물이 지어진지 얼마 안 되어서 그런지 매우 깨끗했습니다.

조식까지 신청해서 먹었는데 깨끗하고 음식 맛도 너무 만족스러웠습니다~~^^

일요일-월요일 숙박을 하였는데 아무래도 비지니스로 숙박을 하셨는지 외국인분들도 많이 계셨는데 외국에 온 기분
ㅎㅎㅎ

만족합니다~!",2018-11-01
192,Jehy,50,"서초구에 위치한 이곳은 깔끔하고 좋습니다.
주변에 강남역도 있어 먹거리도 많구요
특히 교통편도 괜찮은 편이라 추천합니다!!",2018-11-01
193,Journey48271617947,50,"여자친구랑 같이 놀러왔는데 깔끔하고 객실도 좀 넓은 편인거 같아서 좋아요. 아 욕조도 있어서 만족합니다 ㅎㅎㅎ아 화장실이 객실에서 볼 수 있게끔 만들어놨는건 좀 당황스러웠어요. 물론 가릴 수도 있구요
위치는 강남이랑 가까워서 좋구요 ㅎㅎ",2018-11-01
194,soyeon,50,"아담하고 깨끗한 룸 컨디션의 최적의 위치에 자리잡은 신라스테이 서초

모던한 디자인 신라스테이만의 매력과 착한 가격으로 신라스테이 투어 다니려구요~~",2018-11-01
195,leehyejeong,50,"10년 만에 어렵게 모인 친구들과 모이기위해 서초 신라스테이를 선택했어요
강남역하고 가깝고
객실도 깔끔하고 모던한것 같아서
선택하게됬습니다
주변에 공사장이 조금있지만
내부 굉장히 모던하고 깨끗하네요
강추합니다",2018-11-01
196,Roving53642009984,50,깔끔한 시설의 호텔입니다. 지하철역에서 도보 10분 거리 위치해 있습니다. 옆 건물 공사중이라 시끄러울까봐 걱정했는데 조용했습니다. 아베다 제품 구비되어 있습니다.,2018-11-01
197,이소연,50,"아담하고 편안하게 잘쉬었습니다.
조식도만족스러웠고 침구역시 좋았고요.
이동하기도 편한 위치이고
비지니스로 최상의 호텔이예요",2018-11-01
198,배배ㅂㅐ,50,시설도 깔끔하고 조용해서 좋네요 카페나 라운지 이용도 좋아요. 침구류도 깔끔하고 수건에서 냄새도 안나고 어메니티도 좋습니다,2018-11-01
199,Kang Suran,50,"후기 보고 예약했는데, 생각한 것 이상으로 좋네요! 깔끔하고 프론트 직원분들도 아주 친절하세요!! 적극추천합니다 😊😊",2018-11-01
200,JJunu,40,침구류가̆̎ 깨끗하고 편리하다. 직원분들이 굉장히 친절하다.한 쪽면이 창문으로 되어있어서 경치가̆̎ 좋았으면 좋겠지만 공사 중이라 그렇지 않다ㅜㅜ 하지만 공사 중임에도 불구하고 조용하다,2018-11-01
201,Winston Hwang,50,"방이 좀 작다고 생각될 수는 있지만, 군더더기 없는 깔끔한 내부와 편안한 침대 등 비지니스호텔의 목적에 정확히 부합하는 호텔",2018-11-01
202,narae,50,"객실 안내, 라운지 이용이나 조식에 대한 설명을 쉽게 설명 해주셨고 방에 들어갔을 때 먼지가 많거나 담배냄새 등 불쾌한 냄새가 내는 경우가 있는데 이 곳은 냄새도 안나고 상당히 깨끗했습니다.
호텔 자체도 되게 조용해서 잘 쉬고 가는 것 같습니다 다음에 또 이용 할 것 같아요!",2018-11-01
203,동훈 금,50,"강남에서 접근성이 좋아 어디든 가깝게 갈 수 있고, 직원들 서비스와 객실 시설도 좋아 푹 쉴 수 있습니다. 침구류도 편하고 어메니티도 좋아 힐링이 잘 됩니다.",2018-11-01
204,임효경,50,"일단 무료로 룸 업그레이드도 받았구요!
룸 컨디션 최상입니다 . 엄청 깔끔하네요
프론트 직원분도 진짜 친절해여 ㅜ 가성비 갑이네요 여기",2018-11-01
205,수진 장,50,침구류가 편하고 깔끔하였습니다 휴식을 위해서 온 호텔인데 주변이 조용하여서 더욱더 좋았습니당! 다음에도 호캉스한다면 또 오고 싶은 곳입니당,2018-11-01
206,KyungHyub Noh,50,비지니스 호텔로 하루 묵기에 최적의 호텔입니다. 룸 컨디션도 괜찮고 위치도 좋습니다. 신라스테이 해운대도 방문하였지만 어느 지점이든 신라스테이는 좋습니다. 서초 신라스테이 강추합니다.,2018-11-01
